dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	84064	id_118954	84053	id_118943
1.0	75243	id_107133	14972	id_21618
1.0	117592	id_163969	117524	id_163899
0.905	257514	id_357261	207513	id_288098
1.0	84064	id_118954	84051	id_118941
1.0	211263	id_293463	203130	id_282057
1.0	84064	id_118954	84057	id_118947
1.0	90745	id_127436	90722	id_127413
1.0	90745	id_127436	90726	id_127417
1.0	90745	id_127436	90724	id_127415
1.0	90745	id_127436	90725	id_127416
1.0	161055	id_224617	41016	id_58434
1.0	81696	id_115936	50527	id_71938
1.0	46865	id_67060	46653	id_66838
1.0	79529	id_113025	38042	id_54504
1.0	254590	id_353202	216206	id_300723
1.0	172779	id_240758	150925	id_210482
1.0	198793	id_276260	198785	id_276252
1.0	84114	id_119009	84064	id_118954
0.98	116777	id_162944	52211	id_74207
1.0	84114	id_119009	84067	id_118957
1.0	90745	id_127436	90730	id_127421
1.0	187347	id_260268	43654	id_62227
1.0	118022	id_164647	54675	id_77789
0.98	122987	id_171756	43132	id_61574
1.0	84064	id_118954	84034	id_118924
1.0	84064	id_118954	84036	id_118926
1.0	2304	id_3325	2273	id_3294
1.0	82917	id_117502	11542	id_16719
1.0	23330	id_33425	23325	id_33420
1.0	145731	id_203098	121120	id_168978
1.0	84064	id_118954	84043	id_118933
1.0	42350	id_60577	42280	id_60507
1.0	84114	id_119009	84082	id_118972
1.0	166150	id_231512	166107	id_231469
1.0	84114	id_119009	84080	id_118970
1.0	84114	id_119009	84086	id_118976
1.0	69573	id_98071	6215	id_9054
0.965	103070	id_144034	85837	id_121271
1.0	84114	id_119009	84087	id_118977
1.0	222842	id_309359	222756	id_309256
1.0	81773	id_116156	81768	id_116151
1.0	59290	id_84399	59097	id_84199
1.0	165652	id_230840	1819	id_2644
1.0	170918	id_238208	170779	id_238067
1.0	118962	id_166099	118897	id_166029
1.0	84002	id_118892	83949	id_118837
1.0	185558	id_258001	185544	id_257987
1.0	207472	id_288054	207383	id_287953
1.0	232264	id_322082	47446	id_67859
1.0	226313	id_313662	226307	id_313656
1.0	180217	id_250357	144813	id_201881
1.0	50105	id_71464	49987	id_71346
1.0	132957	id_185452	132923	id_185414
1.0	81773	id_116156	81772	id_116155
1.0	92480	id_129627	62705	id_89144
1.0	84002	id_118892	83950	id_118838
1.0	84002	id_118892	83951	id_118839
1.0	84002	id_118892	83954	id_118842
1.0	84002	id_118892	83955	id_118843
1.0	180087	id_250217	144837	id_201905
1.0	84002	id_118892	83957	id_118845
1.0	174264	id_242872	174261	id_242869
1.0	84002	id_118892	83958	id_118846
1.0	84002	id_118892	83959	id_118847
1.0	145762	id_203135	40436	id_57658
1.0	247438	id_343366	129997	id_181432
1.0	4441	id_6755	4436	id_6750
1.0	93122	id_130352	93110	id_130340
1.0	116746	id_162913	69660	id_98207
1.0	125227	id_174688	3892	id_5793
1.0	245540	id_341035	22199	id_31913
0.97	217367	id_302175	114362	id_159626
1.0	248116	id_344445	161055	id_224617
1.0	183786	id_255625	66105	id_93539
1.0	185558	id_258001	185549	id_257992
1.0	84255	id_119247	60331	id_85897
1.0	204543	id_284056	204498	id_284010
1.0	7219	id_10712	7210	id_10703
1.0	249546	id_346494	249539	id_346487
1.0	178927	id_248662	16259	id_23444
1.0	77784	id_110525	1897	id_2776
1.0	243943	id_338680	211314	id_293537
1.0	77354	id_109749	27314	id_38663
1.0	105771	id_147838	46442	id_66558
0.92	84028	id_118918	6610	id_9822
1.0	91944	id_129053	69869	id_98540
0.91	257524	id_357294	120456	id_168039
1.0	129261	id_180414	129257	id_180409
1.0	149421	id_208344	149418	id_208340
0.94	23750	id_33941	23596	id_33787
1.0	56492	id_80610	56474	id_80592
1.0	41311	id_58772	41265	id_58725
1.0	227576	id_315280	227562	id_315264
1.0	168108	id_234206	168031	id_234125
1.0	160561	id_223876	140497	id_196139
1.0	62335	id_88611	62198	id_88427
1.0	46034	id_65704	30638	id_43664
1.0	173150	id_241199	173142	id_241191
1.0	144877	id_201945	144547	id_201594
1.0	59662	id_84940	52298	id_74420
1.0	197748	id_274978	197747	id_274977
1.0	91980	id_129103	80381	id_114250
1.0	83950	id_118838	83949	id_118837
1.0	129714	id_181131	104117	id_145628
1.0	14797	id_21430	14782	id_21415
1.0	78473	id_111599	59067	id_84088
1.0	175604	id_244644	37375	id_53681
1.0	233262	id_323242	233257	id_323236
1.0	254085	id_352453	254075	id_352437
1.0	164836	id_229690	158884	id_221567
1.0	234331	id_325007	107415	id_150147
1.0	178259	id_247888	25223	id_35916
1.0	204991	id_284570	92314	id_129461
1.0	151899	id_211769	118023	id_164648
1.0	257547	id_357362	171933	id_239597
1.0	92863	id_130010	47498	id_67911
0.955	171888	id_239552	25153	id_35832
1.0	151899	id_211769	118020	id_164645
1.0	253730	id_352015	222207	id_308557
1.0	14272	id_20481	14208	id_20407
1.0	137426	id_191644	137394	id_191608
1.0	213729	id_297036	99918	id_139636
0.935	91877	id_128985	46872	id_67067
1.0	255623	id_354457	7091	id_10580
1.0	174259	id_242867	174257	id_242865
0.96	249974	id_347151	223008	id_309607
0.9	110216	id_153885	105770	id_147835
1.0	210720	id_292612	206375	id_286421
1.0	162040	id_225924	71839	id_101797
1.0	59549	id_84723	59508	id_84658
1.0	66238	id_93784	66218	id_93764
1.0	246045	id_341674	246030	id_341659
0.895	173801	id_242262	173739	id_242183
1.0	84064	id_118954	84026	id_118916
1.0	8531	id_12598	8525	id_12592
1.0	66238	id_93784	66222	id_93768
1.0	194768	id_270664	194690	id_270586
1.0	118215	id_164858	54675	id_77789
0.93	132243	id_184468	111813	id_156079
1.0	139229	id_193985	69809	id_98415
1.0	153636	id_214062	153629	id_214055
0.94	185414	id_257834	185342	id_257753
1.0	234939	id_326266	171457	id_238918
1.0	51932	id_73725	51931	id_73724
1.0	136215	id_190027	22031	id_31621
1.0	76477	id_108597	76437	id_108555
1.0	172010	id_239679	161411	id_225002
1.0	84064	id_118954	84002	id_118892
0.97	240055	id_333082	14041	id_20216
1.0	74473	id_105906	74329	id_105683
1.0	84064	id_118954	84004	id_118894
1.0	155119	id_216316	46062	id_65800
1.0	103917	id_145312	103867	id_145253
1.0	258626	id_358961	171034	id_238327
1.0	117625	id_164030	94186	id_131697
1.0	62094	id_88323	27740	id_39577
0.95	70879	id_100119	53485	id_75933
1.0	217475	id_302286	217339	id_302147
1.0	194768	id_270664	194685	id_270581
0.97	113052	id_157822	50224	id_71626
0.895	55275	id_78704	7814	id_11644
1.0	171163	id_238535	171153	id_238525
1.0	119315	id_166469	3803	id_5703
0.975	15429	id_22299	15368	id_22238
1.0	126319	id_176127	81596	id_115789
1.0	136712	id_190624	136689	id_190600
1.0	239928	id_332951	181247	id_251787
1.0	133013	id_185517	109099	id_152324
0.9	149037	id_207834	11738	id_17015
1.0	36101	id_51771	36077	id_51747
0.97	257207	id_356627	27855	id_39693
1.0	244995	id_340198	162336	id_226432
0.935	209250	id_290557	15354	id_22222
1.0	235802	id_327616	235712	id_327526
1.0	224075	id_311034	224001	id_310960
1.0	232571	id_322422	232555	id_322406
1.0	46422	id_66490	43138	id_61581
1.0	216223	id_300753	161407	id_224998
1.0	194768	id_270664	194659	id_270555
1.0	186305	id_258889	186303	id_258887
1.0	184614	id_256834	46054	id_65762
1.0	243937	id_338674	203137	id_282064
1.0	240957	id_334512	7249	id_10767
0.905	172824	id_240807	171890	id_239554
1.0	47429	id_67842	46035	id_65710
1.0	140899	id_196609	140703	id_196404
1.0	66034	id_93449	22201	id_31919
1.0	194768	id_270664	194642	id_270538
1.0	57266	id_81609	57258	id_81595
0.945	215953	id_300368	168019	id_234113
1.0	180168	id_250306	180132	id_250267
1.0	226770	id_314329	161173	id_224749
0.935	161099	id_224665	72678	id_103288
1.0	193804	id_269422	147259	id_205211
1.0	121536	id_169553	113263	id_158141
1.0	149036	id_207833	11729	id_17006
1.0	192014	id_267059	192012	id_267057
0.995	217499	id_302313	142546	id_198744
0.905	138236	id_192629	23057	id_33044
1.0	198839	id_276353	198814	id_276298
0.98	90937	id_127689	90899	id_127651
1.0	29830	id_42541	29813	id_42522
1.0	211184	id_293363	203122	id_282047
1.0	88085	id_124311	87964	id_124186
1.0	209604	id_291045	3425	id_5136
1.0	193372	id_268875	184198	id_256362
1.0	301	id_303	277	id_279
1.0	222947	id_309496	121405	id_169371
1.0	224952	id_312104	198047	id_275300
0.995	235386	id_326839	161184	id_224762
1.0	195292	id_271401	195276	id_271384
1.0	243937	id_338674	203160	id_282097
1.0	146762	id_204570	146701	id_204509
1.0	227381	id_315076	227362	id_315057
1.0	240957	id_334512	7289	id_10882
1.0	233626	id_323774	94792	id_132468
0.91	59215	id_84319	59185	id_84288
0.91	227439	id_315135	80146	id_113904
1.0	139257	id_194064	3875	id_5776
1.0	84114	id_119009	84110	id_119004
1.0	76485	id_108607	70432	id_99437
1.0	220227	id_306035	220166	id_305974
1.0	84114	id_119009	84103	id_118996
1.0	156351	id_218182	692	id_929
1.0	236077	id_327963	3616	id_5405
1.0	224875	id_311994	224764	id_311883
1.0	222842	id_309359	222616	id_309113
1.0	11057	id_15959	11055	id_15957
1.0	115496	id_161107	77899	id_110784
0.92	257509	id_357252	77487	id_109902
1.0	184614	id_256834	122695	id_171225
1.0	172579	id_240477	17116	id_24769
1.0	243918	id_338645	33827	id_48067
1.0	207639	id_288248	207621	id_288227
1.0	233732	id_324078	10908	id_15800
1.0	57631	id_81990	57344	id_81688
1.0	232292	id_322110	232264	id_322082
1.0	13653	id_19720	13652	id_19719
1.0	238183	id_330536	97282	id_135924
0.975	214219	id_297856	113387	id_158289
1.0	207931	id_288671	143533	id_200191
1.0	170166	id_237185	153717	id_214191
1.0	113693	id_158622	113692	id_158621
0.975	191320	id_266038	68954	id_97292
1.0	224778	id_311897	112696	id_157243
1.0	136261	id_190085	136133	id_189935
1.0	141853	id_197947	91041	id_127805
1.0	59661	id_84938	52297	id_74419
1.0	172998	id_240983	172991	id_240975
1.0	240957	id_334512	7258	id_10784
1.0	192879	id_268272	192865	id_268257
1.0	4441	id_6755	4394	id_6707
1.0	59215	id_84319	59142	id_84244
1.0	150320	id_209473	132216	id_184441
1.0	173055	id_241043	172940	id_240924
1.0	226711	id_314225	91950	id_129059
1.0	217483	id_302294	32141	id_45767
1.0	59215	id_84319	59139	id_84241
1.0	55311	id_78741	55293	id_78722
1.0	161035	id_224597	107279	id_149890
1.0	207639	id_288248	207617	id_288219
1.0	240141	id_333190	240009	id_333035
1.0	248911	id_345517	248837	id_345443
1.0	98675	id_137948	98674	id_137947
1.0	217397	id_302205	9637	id_14100
1.0	136279	id_190117	136273	id_190100
1.0	233017	id_322992	177599	id_247043
1.0	162404	id_226545	162399	id_226540
1.0	245679	id_341174	69484	id_97955
1.0	94039	id_131531	94031	id_131522
1.0	237089	id_329113	236766	id_328790
1.0	51910	id_73697	47672	id_68085
1.0	217483	id_302294	32130	id_45756
1.0	257542	id_357342	161330	id_224921
1.0	5854	id_8667	5832	id_8645
1.0	115633	id_161261	115571	id_161197
1.0	207500	id_288085	207485	id_288069
1.0	86606	id_122234	7282	id_10850
1.0	151715	id_211456	99735	id_139402
1.0	74134	id_105392	73979	id_105228
0.95	260155	id_361284	246701	id_342456
0.975	174641	id_243377	174640	id_243376
1.0	256872	id_356161	256863	id_356152
0.995	128165	id_178867	128161	id_178863
1.0	233164	id_323141	233025	id_323000
1.0	74209	id_105527	74178	id_105496
1.0	121663	id_169811	40438	id_57700
1.0	220852	id_306936	105880	id_148024
1.0	174641	id_243377	174636	id_243372
1.0	207500	id_288085	207491	id_288075
1.0	174641	id_243377	174634	id_243370
1.0	153041	id_213307	153011	id_213265
1.0	142244	id_198440	142192	id_198388
0.99	211515	id_293842	140778	id_196480
1.0	47332	id_67745	4557	id_6908
1.0	37158	id_53387	37143	id_53372
1.0	173866	id_242413	173856	id_242403
1.0	118633	id_165636	100683	id_140773
1.0	77777	id_110479	30657	id_43697
1.0	241427	id_335309	241415	id_335289
1.0	155118	id_216311	46426	id_66508
0.925	115497	id_161111	77496	id_109920
1.0	82304	id_116825	8148	id_12083
0.99	151905	id_211777	151869	id_211733
1.0	222842	id_309359	222638	id_309135
1.0	62335	id_88611	62330	id_88586
1.0	103466	id_144747	103456	id_144737
1.0	242233	id_336358	65114	id_92315
1.0	69862	id_98531	62654	id_89091
1.0	161307	id_224898	12479	id_18056
1.0	139249	id_194040	120464	id_168082
0.945	107302	id_149951	77762	id_110428
1.0	13425	id_19355	13424	id_19354
1.0	32062	id_45687	32058	id_45683
1.0	223235	id_309889	223172	id_309826
1.0	155117	id_216281	46376	id_66371
1.0	110187	id_153853	110173	id_153839
1.0	139213	id_193937	139203	id_193927
1.0	260483	id_361612	123015	id_171803
0.92	207872	id_288532	207842	id_288502
0.975	60330	id_85895	60328	id_85891
1.0	207500	id_288085	207426	id_287999
0.98	201663	id_280120	200171	id_278274
0.92	207872	id_288532	207854	id_288514
1.0	205462	id_285259	205459	id_285256
1.0	91555	id_128561	91551	id_128557
1.0	248660	id_345188	248588	id_345114
1.0	111734	id_155954	111725	id_155945
1.0	139254	id_194057	74908	id_106621
0.955	39289	id_56112	29513	id_41871
1.0	175218	id_244063	7268	id_10812
1.0	249993	id_347170	247344	id_343228
1.0	140669	id_196343	100291	id_140139
1.0	91593	id_128599	91572	id_128578
1.0	129253	id_180405	33489	id_47496
1.0	95497	id_133363	95495	id_133348
1.0	135130	id_188505	73323	id_104409
1.0	127102	id_177382	127083	id_177363
1.0	107287	id_149918	86610	id_122260
1.0	139254	id_194057	35408	id_50623
1.0	128514	id_179367	128505	id_179350
1.0	212336	id_295084	212291	id_295039
1.0	117861	id_164331	107278	id_149889
1.0	130673	id_182400	130661	id_182388
1.0	136215	id_190027	12782	id_18461
1.0	148530	id_207099	148521	id_207090
0.92	232260	id_322078	70347	id_99352
0.965	172016	id_239690	164537	id_229271
1.0	86610	id_122260	7298	id_10898
1.0	84002	id_118892	83990	id_118879
1.0	173803	id_242312	92584	id_129731
1.0	84002	id_118892	83992	id_118881
1.0	228068	id_315913	3425	id_5136
1.0	137034	id_191144	136973	id_191083
1.0	84002	id_118892	83998	id_118887
1.0	189815	id_263612	104203	id_145815
0.975	258188	id_358311	212276	id_295024
1.0	108107	id_151123	108100	id_151116
0.965	172016	id_239690	164527	id_229261
0.96	235810	id_327624	230271	id_318809
1.0	192184	id_267297	43723	id_62296
1.0	161381	id_224972	147259	id_205211
1.0	235403	id_326863	216251	id_300813
1.0	84002	id_118892	83961	id_118849
1.0	84002	id_118892	83962	id_118850
1.0	84002	id_118892	83963	id_118851
1.0	77425	id_109832	77387	id_109785
1.0	247846	id_343984	110406	id_154244
1.0	185642	id_258088	185554	id_257997
1.0	118036	id_164661	118017	id_164642
1.0	226903	id_314528	192185	id_267311
1.0	107301	id_149949	105759	id_147777
1.0	86613	id_122271	66557	id_94181
1.0	226829	id_314439	226818	id_314428
1.0	84002	id_118892	83975	id_118864
1.0	157484	id_219798	157424	id_219738
1.0	42035	id_60098	42006	id_60069
0.94	205037	id_284619	155718	id_217260
0.965	172016	id_239690	164523	id_229257
1.0	207161	id_287634	64449	id_91337
1.0	68607	id_96830	68559	id_96781
1.0	251440	id_348995	251243	id_348795
1.0	26593	id_37765	7324	id_11006
1.0	172779	id_240758	150957	id_210514
1.0	84150	id_119045	84103	id_118996
1.0	56609	id_80739	56605	id_80735
1.0	233731	id_324077	10881	id_15773
1.0	207602	id_288194	207461	id_288039
0.91	255352	id_354166	235409	id_326872
1.0	165436	id_230549	26522	id_37694
1.0	82689	id_117241	82688	id_117240
1.0	130055	id_181504	11617	id_16858
1.0	186398	id_259052	186347	id_258980
1.0	96564	id_134714	32009	id_45632
1.0	109128	id_152353	48007	id_68521
1.0	251440	id_348995	251233	id_348784
1.0	84150	id_119045	84114	id_119009
1.0	84150	id_119045	84110	id_119004
1.0	254772	id_353447	248116	id_344445
1.0	214918	id_298910	214895	id_298883
1.0	107320	id_150008	27751	id_39589
1.0	216248	id_300810	125265	id_174759
0.965	17031	id_24664	17007	id_24637
1.0	158710	id_221370	158703	id_221363
1.0	213010	id_296046	48176	id_68742
1.0	186355	id_259008	156386	id_218217
1.0	84150	id_119045	84127	id_119022
1.0	84150	id_119045	84120	id_119015
0.94	210922	id_293067	183054	id_254609
0.935	108810	id_151975	108804	id_151969
1.0	210687	id_292568	206272	id_286281
1.0	252428	id_350321	252389	id_350268
0.995	246797	id_342553	159914	id_222978
1.0	77423	id_109829	77357	id_109752
1.0	101330	id_141759	33044	id_46866
1.0	44782	id_63944	11164	id_16078
1.0	84150	id_119045	84137	id_119032
1.0	84150	id_119045	84135	id_119030
0.94	255352	id_354166	77363	id_109759
1.0	125217	id_174678	3930	id_5832
1.0	77928	id_110946	62265	id_88495
1.0	133648	id_186440	133616	id_186407
1.0	225971	id_313312	225735	id_313074
0.96	180166	id_250304	144864	id_201932
1.0	6761	id_10083	6754	id_10076
1.0	84150	id_119045	84149	id_119044
1.0	84150	id_119045	84147	id_119042
1.0	191095	id_265636	191059	id_265586
1.0	84150	id_119045	84143	id_119038
0.92	193680	id_269230	3619	id_5411
1.0	103638	id_144986	103637	id_144985
1.0	233452	id_323474	178928	id_248663
1.0	77786	id_110534	47766	id_68180
0.925	259207	id_359903	50456	id_71867
1.0	215953	id_300368	168101	id_234199
1.0	186801	id_259521	171358	id_238796
0.97	192135	id_267207	192124	id_267196
1.0	123192	id_171986	110611	id_154514
1.0	233626	id_323774	226903	id_314528
1.0	232529	id_322355	3784	id_5684
1.0	185791	id_258246	185546	id_257989
1.0	257520	id_357283	86615	id_122293
1.0	204607	id_284127	184244	id_256409
1.0	217300	id_302108	42183	id_60351
1.0	170900	id_238190	170792	id_238081
0.96	141208	id_197088	83344	id_118057
1.0	4848	id_7294	4829	id_7253
1.0	186661	id_259381	81961	id_116401
1.0	122703	id_171234	120467	id_168096
1.0	37328	id_53634	24837	id_35419
1.0	191095	id_265636	191049	id_265576
1.0	72190	id_102543	72158	id_102510
0.92	23015	id_32989	23012	id_32986
1.0	233626	id_323774	104570	id_146265
0.965	172016	id_239690	164504	id_229238
0.965	172016	id_239690	164505	id_229239
1.0	191321	id_266039	68997	id_97335
0.97	178536	id_248257	13337	id_19210
1.0	203130	id_282057	33827	id_48067
1.0	213032	id_296080	213017	id_296055
1.0	108912	id_152098	108812	id_151977
1.0	140887	id_196597	116422	id_162539
1.0	114052	id_159301	113906	id_159154
1.0	206352	id_286398	48020	id_68535
1.0	110764	id_154700	110757	id_154693
1.0	107285	id_149911	86615	id_122293
1.0	165054	id_230023	165035	id_230004
1.0	39840	id_56863	39826	id_56837
1.0	187081	id_259904	74071	id_105325
0.965	172016	id_239690	164503	id_229237
1.0	49383	id_70370	49328	id_70313
1.0	91980	id_129103	69865	id_98535
1.0	156388	id_218219	156364	id_218195
1.0	110764	id_154700	110761	id_154697
1.0	174631	id_243367	69865	id_98535
1.0	97829	id_136567	97827	id_136565
0.92	94940	id_132621	27272	id_38586
1.0	216214	id_300735	43138	id_61581
0.935	118960	id_166097	21041	id_30295
1.0	178791	id_248512	178536	id_248257
1.0	248079	id_344380	100572	id_140623
1.0	252280	id_350071	252267	id_350058
1.0	158588	id_221238	136098	id_189879
1.0	178930	id_248670	4847	id_7293
0.905	211314	id_293537	203140	id_282067
1.0	57212	id_81546	57194	id_81527
1.0	52971	id_75295	52966	id_75290
1.0	141853	id_197947	139254	id_194057
0.995	186812	id_259532	186624	id_259344
1.0	191320	id_266038	68989	id_97327
1.0	124922	id_174335	124901	id_174302
1.0	252280	id_350071	252273	id_350064
1.0	209022	id_290253	15340	id_22192
1.0	67785	id_95826	67569	id_95598
1.0	83951	id_118839	83949	id_118837
1.0	216238	id_300793	105770	id_147835
1.0	114052	id_159301	113942	id_159191
1.0	106669	id_149012	106590	id_148933
1.0	20562	id_29638	7315	id_10955
1.0	175605	id_244645	37355	id_53661
1.0	186363	id_259016	141516	id_197561
1.0	19072	id_27659	19043	id_27630
0.905	260198	id_361327	45548	id_65032
1.0	242844	id_337191	242825	id_337148
0.93	191345	id_266078	69041	id_97380
1.0	159925	id_222989	33334	id_47256
1.0	189458	id_263024	173416	id_241613
1.0	83951	id_118839	83950	id_118838
1.0	109394	id_152628	109392	id_152625
1.0	246703	id_342458	152994	id_213238
1.0	256448	id_355509	256431	id_355484
1.0	172961	id_240945	55677	id_79359
1.0	179026	id_248843	179009	id_248826
0.945	91030	id_127793	91029	id_127792
1.0	184241	id_256406	102177	id_142791
1.0	228114	id_315973	106114	id_148328
1.0	57823	id_82257	57739	id_82173
1.0	161055	id_224617	140887	id_196597
1.0	234331	id_325007	171859	id_239523
1.0	218389	id_303589	218382	id_303582
0.915	249010	id_345876	151363	id_211046
0.965	126229	id_175951	126226	id_175948
1.0	241616	id_335582	30804	id_43908
1.0	80125	id_113883	80091	id_113849
1.0	113670	id_158598	113664	id_158592
1.0	113670	id_158598	113662	id_158590
1.0	103745	id_145099	103698	id_145048
1.0	140011	id_195322	47995	id_68509
1.0	23017	id_32991	23014	id_32988
0.95	81042	id_115022	33007	id_46816
1.0	190306	id_264461	190299	id_264433
1.0	116380	id_162360	116377	id_162357
1.0	217260	id_302068	216998	id_301796
1.0	161180	id_224756	43121	id_61560
1.0	172347	id_240113	123891	id_172789
1.0	214156	id_297675	27313	id_38660
1.0	238247	id_330605	238178	id_330531
1.0	86611	id_122264	27341	id_38736
1.0	114052	id_159301	113966	id_159215
0.945	114527	id_159807	41994	id_60056
1.0	104790	id_146493	104680	id_146376
1.0	234331	id_325007	107297	id_149943
1.0	66274	id_93832	66217	id_93763
0.92	47566	id_67979	20613	id_29689
1.0	174631	id_243367	80381	id_114250
0.91	227439	id_315135	80043	id_113800
1.0	207425	id_287997	207335	id_287901
0.92	226183	id_313532	226138	id_313482
1.0	32482	id_46204	32411	id_46128
1.0	243915	id_338642	211294	id_293508
1.0	112877	id_157549	25471	id_36341
1.0	246712	id_342467	34336	id_49120
1.0	76668	id_108831	76568	id_108729
0.95	155369	id_216669	25474	id_36344
0.955	190433	id_264739	46064	id_65811
0.91	212573	id_295406	62379	id_88657
1.0	107412	id_150135	3291	id_4872
1.0	226100	id_313444	116616	id_162768
1.0	28463	id_40414	28418	id_40368
0.925	115497	id_161111	77366	id_109762
1.0	224638	id_311713	59217	id_84321
1.0	174407	id_243066	105664	id_147591
1.0	243920	id_338647	211297	id_293512
0.955	173080	id_241072	84174	id_119069
0.985	114784	id_160223	114762	id_160199
1.0	11283	id_16245	11261	id_16194
1.0	80400	id_114269	80367	id_114236
1.0	61858	id_88035	61836	id_88013
1.0	112630	id_157081	110398	id_154219
1.0	116422	id_162539	114001	id_159250
0.955	236209	id_328208	209107	id_290373
1.0	204501	id_284013	204438	id_283940
1.0	50756	id_72224	50728	id_72196
0.94	167136	id_232922	62410	id_88688
0.945	112647	id_157127	50549	id_71962
1.0	90519	id_127187	90359	id_127027
1.0	109328	id_152560	109154	id_152381
1.0	235069	id_326401	92294	id_129441
1.0	89804	id_126373	89769	id_126337
1.0	161662	id_225380	161598	id_225316
0.975	112877	id_157549	25439	id_36304
1.0	122289	id_170633	11774	id_17070
1.0	253634	id_351881	201241	id_279606
1.0	190433	id_264739	161385	id_224976
1.0	178933	id_248691	3614	id_5403
1.0	90746	id_127437	90735	id_127426
1.0	112633	id_157088	27340	id_38735
1.0	232264	id_322082	122289	id_170633
1.0	100697	id_140787	45575	id_65059
1.0	201400	id_279788	201271	id_279654
1.0	147960	id_206093	147954	id_206074
0.915	207162	id_287635	91866	id_128974
1.0	49805	id_71068	17764	id_25782
0.93	221203	id_307301	192183	id_267287
0.945	112647	id_157127	50529	id_71940
1.0	192185	id_267311	80381	id_114250
1.0	174407	id_243066	105621	id_147543
1.0	210675	id_292554	210637	id_292508
1.0	159303	id_222024	159244	id_221960
1.0	62143	id_88372	6931	id_10322
0.905	226649	id_314157	21709	id_31239
1.0	147578	id_205576	147575	id_205573
1.0	243600	id_338283	243592	id_338275
1.0	197869	id_275101	197704	id_274934
